Employee Name,Contract Type,Start Date,End Date,Job Position,Employer Details
114732,Employee 80,Contract,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
170610,Employee 81,Contract,3/1/2029 12:00:00 AM,3/1/2032 12:00:00 AM,Manager
185854,Employee 82,Contract,3/1/2029 12:00:00 AM,3/1/2032 12:00:00 AM,Manager
108733,Employee 83,Full-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
163182,Employee 84,Part-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Salesperson
120110,Employee 85,Full-time,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
174882,Employee 86,Part-time,3/1/2028 12:00:00 AM,3/1/2029 12:00:00 AM,Salesperson
121816,Employee 87,Contract,3/1/2030 12:00:00 AM,3/1/2035 12:00:00 AM,Manager
183202,Employee 88,Full-time,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Manager
102731,Employee 89,Contract,3/1/2031 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
183087,Employee 90,Full-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
176066,Employee 91,Contract,3/1/2032 12:00:00 AM,3/1/2036 12:00:00 AM,Salesperson
106260,Employee 92,Contract,3/1/2029 12:00:00 AM,3/1/2030 12:00:00 AM,Manager
127492,Employee 93,Contract,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
167463,Employee 94,Part-time,3/1/2031 12:00:00 AM,3/1/2034 12:00:00 AM,Manager
197836,Employee 95,Full-time,3/1/2032 12:00:00 AM,3/1/2034 12:00:00 AM,Tailor
128561,Employee 96,Part-time,3/1/2032 12:00:00 AM,3/1/2037 12:00:00 AM,Tailor
110384,Employee 97,Full-time,3/1/2030 12:00:00 AM,3/1/2032 12:00:00 AM,Salesperson
185698,Employee 98,Part-time,3/1/2032 12:00:00 AM,3/1/2037 12:00:00 AM,Salesperson
141689,Employee 99,Contract,3/1/2032 12:00:00 AM,3/1/2037 12:00:00 AM,Salesperson
168712,Employee 100,Part-time,3/1/2028 12:00:00 AM,3/1/2030 12:00:00 AM,Salesperson
